General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change
General Information,"We intend to focus on environmental, business and infrastructure products and services – with an accent on sustainability. Our chairman is Craig Cogut, the founder and CEO of Pegasus Capital Advisors. (Incorporated in the Cayman Islands)",BLANK CHECKS,0,2021,Contact Information,"750 East Main Street, Suite 600 Stamford, Connecticut 06902",(203) 869-4400,,7 Acquisition Corp.,Financial Information,$225.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,SVNAU,NASDAQ,20.0,$10.00 - $10.00,$200.0 mil,Goldman Sachs,-,11/5/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
General Information,"We intend to focus our search for prospects within the technology industry with an enterprise value from $500 million to $1.5 billion. . We are a partnership between 7GC & Co Sarl, or 7GC, a technology growth fund based in San Francisco, California and Berlin, Germany, and Hennessy Capital LLC, or Hennessy Capital, a leading independent SPAC sponsor based in Wilson, Wyoming, and Los Angeles, California. (Note: 7GC & Co. Holdings upsized its IPO at pricing to 20 million units, up from 17.5 million units in the prospectus, at $10 each.)",Blank Checks,0,2020,Contact Information,"388 Market Street, Suite 1300 San Francisco, CA 94111",(628) 400-9284,,7GC & Co. Holdings Inc.,Financial Information,$243.75mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,VIIU,NASDAQ,20.0,$10.00 - $10.00,$200.0 mil,Cantor,-,12/23/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers
