Trade_Date,Issuer,Symbol,Lead/Joint-Lead_ Managers,Offer_Price,Opening_Price,1st Day_Close,1st Day.1_% Px Chng ,$ Change_Opening,$ Change.1_Close,Star_Ratings,Performed
2020-02-11,Greenrose Acquisition ,GNRSU,Imperial Capital,10.0,10.02,10.07,0.007000000000000029,0.01999999999999957,0.07000000000000027,1,
2020-02-12,Huize Holding Ltd. ,HUIZ,Citigroup/ CICC,10.5,10.62,10.0,-0.047619047619047616,0.11999999999999922,-0.5,1,
2020-02-13,Yunhong International ,ZGYHU,Maxim Group LLC,10.0,10.01,10.0,0.0,0.009999999999999787,0.0,1,
2020-02-13,Muscle Maker ,GRIL,Alexander Capital,5.0,4.7,3.86,-0.22800000000000006,-0.2999999999999998,-1.14,1,
2020-02-13,Revolution Medicines ,RVMD,J.P. Morgan/ Cowen/ SVB Leerink/ Guggenheim Securities,17.0,28.21,28.9,0.7,11.21,11.9,3,
2020-02-14,Churchill Capital Corp. III ,CCXX.U,Citigroup/ Goldman Sachs,10.0,10.58,10.51,0.050999999999999976,0.5800000000000001,0.5099999999999998,1,
2020-02-14,Newborn Acquisition ,NBACU,Chardan,10.0,10.02,10.05,0.005000000000000071,0.01999999999999957,0.05000000000000071,1,
2020-02-20,East Stone Acquisition ,ESSCU,I-Bankers Securities,10.0,10.05,10.01,0.0009999999999999788,0.05000000000000071,0.009999999999999787,1,
2020-02-21,dMY Technology Group ,DMYT.U,Goldman Sachs/ UBS Investment Bank,10.0,10.31,10.34,0.03399999999999999,0.3100000000000005,0.33999999999999986,1,
2020-02-24,ZHONGCHAO ,ZCMD,Network 1 Financial Securities,4.0,4.34,4.0,0.0,0.33999999999999986,0.0,NC,
2020-02-28,Passage BIO ,PASG,J.P. Morgan/ Goldman Sachs/ Cowen,18.0,22.27,22.2,0.2333333333333333,4.27,4.199999999999998,3,
