,uw_price,uw_rank,socre
142,Robertson Stephens,"Robertson, Colman & Stephens",100
143,Network 1 Financial Securities,Network 1 Financial Securities,100
144, Barclays,Barclays Capital,100
145,Maxim Group LLC,Maxim Group LLC,100
146, Wells Fargo,Wells Fargo,100
147,Sandler O'Niell & Partners,Sandler O'Neill Partners,96
148, Berenberg,"Shoenberg, Hieber",72
149,CRT Capital,KKR Capital,82
150, Leerink Partners ,Leerink-SVB,78
151,Oppenheimer & Co.,Oppenheimer & Co Inc,100
152, National Bank of Canada Financial,National Bank Financial Inc,92
153, J .P. Morgan Securities,Wedbush Morgan Securities,89
154, Joseph Gunnar,"Joseph Gunnar & Co., LLC",100
155,Dain Rauscher Wessels,Dain Rauscher Wessels,100
156,Deutsche Banc Alex. Brown,Deutsche Banc Alex Brown,100
157,AG Edwards & Sons,AG Edwards & Sons Inc,100
158,GS,UBS AG,50
159, HSBC,HSBC,100
160,WestPark Capital,KKR Capital,78
161, Mitsubishi UFJ Securities,BA Securities,87
162,DBAB,Mediobanca,43
163, AMTD,AMTD Global Markets,100
164,JMP Securities,BA Securities,87
165, J.P. Morgan RBC Capital Markets,RBC Capital Markets,100
166," Keefe, Bruyette & Woods",Keefe Bruyette & Woods Inc,100
167, Goldman Sachs Japan,Goldman Sachs & Co,90
168," Sandler O’Neill + Partners, L.P",Sandler O'Neill Partners,100
169, Itau BBA,Banco Itau-BBA,100
170,DLJ,DLJdirect,50
171,Morgan Keegan,Morgan Keegan Inc,100
172, Pacific Crest Securities (a division of KeyBanc Capital Markets),KeyBanc Capital Markets ,100
173, Nomura,Nomura Securities New York Inc,100
174, CIBC Capital Markets,AIB Capital Markets,92
175,Golldman Sachs,Goldman Sachs & Co,87
176,WR Hambracht+Co.,W.R. Hambrecht & Company,72
177,JonesTrading,Sterling Foster,59
178,HCFP,HCFP Brenner Securities LLC,100
179,DPO (Direct Public Offering),E*Offering Corp,70
180,Paulson,Paulson Investment Co,100
