,uw_price,uw_rank,socre
563,Morgan Stanlet Dean Witter,Dean Witter,100
564, Knight Capital Markets,Knight Capital Markets,100
565, Ladenburg Thalmann & Co. Inc.,Ladenburg Thalmann & Co,100
566,"Bear, Stearns",Bear Stearns International,100
567, C.L. King & Associates,CL King & Associates Inc,88
568,Baird,Robert W Baird & Co Inc,100
569,Capital Growth Financial,Capital Growth Financial,100
570,Thomas Weisels Partners,Thomas Weisel Partners LLC,90
571," Axiom Capital Management,",Cardinal Capital Management,86
572,Haitong International,Haitong International,100
573,Gunn Allen,Allen C. Ewing,67
574,WR Hambrecht,Hambrecht & Quist,86
575, Tudor Pickering Holt,Tudor-Pickering,100
576,CS First Boston,CS First Boston,100
577,Wm Blair,D. H. Blair,77
578, Raymond James,Raymond James & Associates Inc,100
579,​Jefferies,Jefferies & Co Inc,100
580, Valuable Capital Limited,Valuable Capital,100
581,Adams Harkness,Adams Harkness & Hill Inc,100
582, TD Securities,TD Securities Inc,100
583, Shenwan Hogyuan ,Shemano Group,57
584, William Blair & Company,William Blair & Co,90
585,Macquarie Capital,KKR Capital,78
586, Aegis Capital Corp,Aegis Capital,100
587,Brean Murray,Brean Murray & Co Inc,100
588,Chase H&Q,Chase H&Q,100
589, Citi,Citigroup,62
590,Craig-Hallum Capital Group,"Craig-Hallum, Inc.",86
591, XP Investments,Profile Investments,88
592,​Barclays,Barclays Capital,100
593, Lazard Capital Markets,Lazard,100
594, RBC Capital Market,RBC Capital Markets,97
595,Roth Capital Partners ,Roth Capital Partners Inc,100
596, Regions Securities,BA Securities,87
597,Barclays,Barclays Capital,100
598,Benchmark Company,The Benchmark Company,100
599, Haitong Internationa,Haitong International,98
600,Cowen and Company,Cowen,100
601, UBS Investment Bank​,UBS,100
602,Freidman Billing Ramsey,Friedman Billings Ramsey & Co,88
603,BB&T Capital Markets,BB&T Capital Markets,100
604, RAYMOND JAMES,Raymond James & Associates Inc,100
605," Bryan, Garnier","Gaines, Berland",67
606, Baird,Robert W Baird & Co Inc,100
607,Allen,Allen C. Ewing,100
608, Chardan,"Chardan Capital Markets, LLC",100
609, J.P. MorganSandle,Morgan Stanley,73
610,National Securities Corporation,RAS Securities Corporation,92
611,China International,China International Capital Corp (CICC),100
612, The Huntington Investment Company,Orians Investment,74
613,Morgan Stanle,Morgan Stanley,96
614,UBS Warburg ,UBS,100
615,Stephens,"Robertson, Colman & Stephens",100
616,FIG Partners,Utendahl Capital Partners,80
617, Banc of America Securities,Banc of America Securities LLC,100
618,I-Bankers Securities,I-Bankers Securities Inc,100
619, Ameriprise Financial Services,BC Financial,86
620,Sandler O’Neill & Partners,Sandler O'Neill Partners,100
621, Pacific Crest Securities,Pacific Crest Securities Inc,100
622, Cantor,"Cantor, Fitzgerald & Co., Inc.",100
623,Cantor Fitzgerald,"Cantor, Fitzgerald & Co., Inc.",100
624,Citibank,KKR Capital,53
625,Merrill Lhnch,Merrill Lynch & Co Inc,73
626,Sandler O’Neill,Sandler O'Neill Partners,100
627,Merrill,Merrill Lynch White Weld Cptl,100
628, Piper Jaffray,US Bancorp Piper Jaffray,100
629,Piper,US Bancorp Piper Jaffray,100
630, Allen & Company,Baer & Company,80
631, I-Bankers Securities,I-Bankers Securities Inc,100
632,Legand Merchant Group,Legend Merchant Group,95
633,Credit Siusse First Boston,Credit Suisse First Boston,96
634,Leerink Partners,Leerink-SVB,78
635,J..P. Morgan Securities,Wedbush Morgan Securities,89
636,Goldman Sachs (Asia) L.L.C.,Goldman Sachs Asia,100
637,Donald,Donald & Co. Securities,100
638,Credit Suisse ,Credit Suisse First Boston,100
639,West Park Capital,West Park Capital,100
640, BofA Merrill Lych,Merrill Lynch & Co Inc,76
641,Lazard Capital Markets,Lazard,100
642, Itau BBA ,Banco Itau-BBA,100
643,BMO Capital Markets,BMO Capital Markets,100
644,Leerink Swann,Leerink Swann & Co.,100
645,ThinkEquity (a division of Fordham Financial Management),BC Financial,86
646,Donaldson Lufkin & Jenrette,Donaldson Lufkin & Jenrette,100
647,Alpha Finance,Alpha Finance US Corporation,100
648,Roth,Cruttenden Roth Inc,100
649,RBC,RBC Dominion Securities,100
650, Goldman Sach,Goldman Sachs & Co,86
651," Keefe, Woods & Bruyette (A Stifel Company)",Stifel,100
652,WRHambrecht+Co,W.R. Hambrecht & Company,69
653,Casimir Capital,KKR Capital,78
654, Rodman & Renshaw,Rodman & Renshaw Inc,100
655,EarlyBridCapital,Earlybirdcapital Inc,83
656,BB&T Capital,BB&T Capital Markets,100
657,Deutsche Bank Securities ,Deutsche Bank Securities Corp,100
658, Zelman Partners LLC,Zelman,100
659, Morgan Stanle,Morgan Stanley,96
660, J.P. Morga,J.T. Moran,78
661, Shenwan Hongyuan Securities,BA Securities,87
662, BofA Merrill Lynch,Merrill Lynch White Weld Cptl,84
663, VALUABLE CAPITAL LIMITED,Valuable Capital,100
664,Creidt Suisse First Boston,Credit Suisse First Boston,96
665,C&Co,C&CO/PrinceRidge,100
666,"Goldman, Sach",Goldman Sachs & Co,86
667,ThinkPanmure,Hinkle & LaMear,56
668, Hovde Group,Shemano Group,67
669,J.P. Morgan,JP Morgan (JPM),87
670, Zelman Partners,Zelman,100
671, BoA Merrill Lynch,Bank of America-Merrill Lynch (BOA-Merrill),100
672, Neidiger Tucker Bruner,"Neidiger, Tucker, Bruner Inc.",100
673,Keefe Bruyette & Woods,Keefe Bruyette & Woods Inc,100
674,Oppenhemier,CIBC Oppenheimer,74
675, Goldman Sachs,Goldman Sachs Asia,100
676,Keefe Bruyette & Woods (A Stifel Company ),Stifel,100
677,"EarlyBirdCapital, Inc.",Earlybirdcapital Inc,100
678,William Baird,William Blair & Co,83
679,Barclays Capial,Barclays Capital,97
680,KeyBanc Capital Markets,KeyBanc Capital Markets ,100
681,Goldman Sachs (Asia),Goldman Sachs Asia,100
