date,SVI,isPartial,Issuer
2013-07-14,8,False,SFX Entertainment
2013-07-21,26,False,SFX Entertainment
2013-07-28,10,False,SFX Entertainment
2013-08-04,11,False,SFX Entertainment
2013-08-11,5,False,SFX Entertainment
2013-08-18,3,False,SFX Entertainment
2013-08-25,14,False,SFX Entertainment
2013-09-01,8,False,SFX Entertainment
2013-09-08,9,False,SFX Entertainment
2013-09-15,11,False,SFX Entertainment
2013-09-22,21,False,SFX Entertainment
2013-09-29,45,False,SFX Entertainment
2013-10-06,100,False,SFX Entertainment
2013-10-13,32,False,SFX Entertainment
2013-10-20,36,False,SFX Entertainment
2013-10-27,30,False,SFX Entertainment
2013-11-03,29,False,SFX Entertainment
2013-11-10,15,False,SFX Entertainment
2013-11-17,13,False,SFX Entertainment
2013-11-24,16,False,SFX Entertainment
2013-12-01,37,False,SFX Entertainment
2013-12-08,34,False,SFX Entertainment
2013-12-15,23,False,SFX Entertainment
2013-12-22,10,False,SFX Entertainment
2013-12-29,19,False,SFX Entertainment
2014-01-05,45,False,SFX Entertainment
2014-01-12,21,False,SFX Entertainment
2014-01-19,8,False,SFX Entertainment
2014-01-26,14,False,SFX Entertainment
2014-02-02,25,False,SFX Entertainment
2014-02-09,51,False,SFX Entertainment
2014-02-16,17,False,SFX Entertainment
2014-02-23,18,False,SFX Entertainment
2014-03-02,24,False,SFX Entertainment
2014-03-09,17,False,SFX Entertainment
2014-03-16,19,False,SFX Entertainment
2014-03-23,34,False,SFX Entertainment
2014-03-30,26,False,SFX Entertainment
2014-04-06,21,False,SFX Entertainment
2014-04-13,25,False,SFX Entertainment
2014-04-20,16,False,SFX Entertainment
2014-04-27,20,False,SFX Entertainment
2014-05-04,18,False,SFX Entertainment
2014-05-11,25,False,SFX Entertainment
2014-05-18,13,False,SFX Entertainment
2014-05-25,20,False,SFX Entertainment
2014-06-01,19,False,SFX Entertainment
2014-06-08,11,False,SFX Entertainment
2014-06-15,16,False,SFX Entertainment
2014-06-22,22,False,SFX Entertainment
2014-06-29,19,False,SFX Entertainment
2014-07-06,13,False,SFX Entertainment
2013-07-14,22,False,Antero Resources
2013-07-21,27,False,Antero Resources
2013-07-28,17,False,Antero Resources
2013-08-04,8,False,Antero Resources
2013-08-11,27,False,Antero Resources
2013-08-18,25,False,Antero Resources
2013-08-25,18,False,Antero Resources
2013-09-01,16,False,Antero Resources
2013-09-08,22,False,Antero Resources
2013-09-15,31,False,Antero Resources
2013-09-22,14,False,Antero Resources
2013-09-29,53,False,Antero Resources
2013-10-06,100,False,Antero Resources
2013-10-13,47,False,Antero Resources
2013-10-20,34,False,Antero Resources
2013-10-27,22,False,Antero Resources
2013-11-03,32,False,Antero Resources
2013-11-10,15,False,Antero Resources
2013-11-17,21,False,Antero Resources
2013-11-24,11,False,Antero Resources
2013-12-01,31,False,Antero Resources
2013-12-08,17,False,Antero Resources
2013-12-15,17,False,Antero Resources
2013-12-22,10,False,Antero Resources
2013-12-29,20,False,Antero Resources
2014-01-05,19,False,Antero Resources
2014-01-12,26,False,Antero Resources
2014-01-19,23,False,Antero Resources
2014-01-26,21,False,Antero Resources
2014-02-02,24,False,Antero Resources
2014-02-09,23,False,Antero Resources
2014-02-16,14,False,Antero Resources
2014-02-23,22,False,Antero Resources
2014-03-02,13,False,Antero Resources
2014-03-09,22,False,Antero Resources
2014-03-16,25,False,Antero Resources
