date,SVI,isPartial,Issuer
2008-03-23,15,False,RHI Entertainment
2008-03-30,15,False,RHI Entertainment
2008-04-06,73,False,RHI Entertainment
2008-04-13,58,False,RHI Entertainment
2008-04-20,30,False,RHI Entertainment
2008-04-27,0,False,RHI Entertainment
2008-05-04,0,False,RHI Entertainment
2008-05-11,0,False,RHI Entertainment
2008-05-18,57,False,RHI Entertainment
2008-05-25,14,False,RHI Entertainment
2008-06-01,100,False,RHI Entertainment
2008-06-08,72,False,RHI Entertainment
2008-06-15,29,False,RHI Entertainment
2008-06-22,15,False,RHI Entertainment
2008-06-29,30,False,RHI Entertainment
2008-07-06,15,False,RHI Entertainment
2008-07-13,29,False,RHI Entertainment
2008-07-20,0,False,RHI Entertainment
2008-07-27,29,False,RHI Entertainment
2008-08-03,30,False,RHI Entertainment
2008-08-10,0,False,RHI Entertainment
2008-08-17,0,False,RHI Entertainment
2008-08-24,0,False,RHI Entertainment
2008-08-31,14,False,RHI Entertainment
2008-09-07,40,False,RHI Entertainment
2008-09-14,0,False,RHI Entertainment
2008-09-21,0,False,RHI Entertainment
2008-09-28,0,False,RHI Entertainment
2008-10-05,25,False,RHI Entertainment
2008-10-12,13,False,RHI Entertainment
2008-10-19,13,False,RHI Entertainment
2008-10-26,22,False,RHI Entertainment
2008-11-02,0,False,RHI Entertainment
2008-11-09,60,False,RHI Entertainment
2008-11-16,24,False,RHI Entertainment
2008-11-23,0,False,RHI Entertainment
2008-11-30,24,False,RHI Entertainment
2008-12-07,12,False,RHI Entertainment
2008-12-14,25,False,RHI Entertainment
2008-12-21,15,False,RHI Entertainment
2008-12-28,15,False,RHI Entertainment
2009-01-04,0,False,RHI Entertainment
2009-01-11,23,False,RHI Entertainment
2009-01-18,11,False,RHI Entertainment
2009-01-25,23,False,RHI Entertainment
2009-02-01,45,False,RHI Entertainment
2009-02-08,11,False,RHI Entertainment
2009-02-15,22,False,RHI Entertainment
2009-02-22,11,False,RHI Entertainment
2009-03-01,32,False,RHI Entertainment
2009-03-08,11,False,RHI Entertainment
2009-03-15,11,False,RHI Entertainment
2008-03-30,0,False,Navios Maritime Acquisition
2008-04-06,0,False,Navios Maritime Acquisition
2008-04-13,0,False,Navios Maritime Acquisition
2008-04-20,0,False,Navios Maritime Acquisition
2008-04-27,0,False,Navios Maritime Acquisition
2008-05-04,0,False,Navios Maritime Acquisition
2008-05-11,0,False,Navios Maritime Acquisition
2008-05-18,0,False,Navios Maritime Acquisition
2008-05-25,0,False,Navios Maritime Acquisition
2008-06-01,0,False,Navios Maritime Acquisition
2008-06-08,0,False,Navios Maritime Acquisition
2008-06-15,0,False,Navios Maritime Acquisition
2008-06-22,0,False,Navios Maritime Acquisition
2008-06-29,100,False,Navios Maritime Acquisition
2008-07-06,49,False,Navios Maritime Acquisition
2008-07-13,0,False,Navios Maritime Acquisition
2008-07-20,49,False,Navios Maritime Acquisition
2008-07-27,0,False,Navios Maritime Acquisition
2008-08-03,49,False,Navios Maritime Acquisition
2008-08-10,0,False,Navios Maritime Acquisition
2008-08-17,0,False,Navios Maritime Acquisition
2008-08-24,0,False,Navios Maritime Acquisition
2008-08-31,45,False,Navios Maritime Acquisition
2008-09-07,44,False,Navios Maritime Acquisition
2008-09-14,44,False,Navios Maritime Acquisition
2008-09-21,0,False,Navios Maritime Acquisition
2008-09-28,0,False,Navios Maritime Acquisition
2008-10-05,42,False,Navios Maritime Acquisition
2008-10-12,0,False,Navios Maritime Acquisition
2008-10-19,0,False,Navios Maritime Acquisition
2008-10-26,0,False,Navios Maritime Acquisition
2008-11-02,0,False,Navios Maritime Acquisition
2008-11-09,40,False,Navios Maritime Acquisition
2008-11-16,0,False,Navios Maritime Acquisition
2008-11-23,0,False,Navios Maritime Acquisition
2008-11-30,0,False,Navios Maritime Acquisition
2008-12-07,0,False,Navios Maritime Acquisition
2008-12-14,0,False,Navios Maritime Acquisition
2008-12-21,0,False,Navios Maritime Acquisition
2008-12-28,0,False,Navios Maritime Acquisition
2009-01-04,39,False,Navios Maritime Acquisition
2009-01-11,0,False,Navios Maritime Acquisition
2009-01-18,0,False,Navios Maritime Acquisition
2009-01-25,0,False,Navios Maritime Acquisition
2009-02-01,0,False,Navios Maritime Acquisition
2009-02-08,0,False,Navios Maritime Acquisition
2009-02-15,37,False,Navios Maritime Acquisition
2009-02-22,0,False,Navios Maritime Acquisition
2009-03-01,36,False,Navios Maritime Acquisition
2009-03-08,0,False,Navios Maritime Acquisition
2009-03-15,0,False,Navios Maritime Acquisition
2009-03-22,0,False,Navios Maritime Acquisition
2008-04-06,53,False,Energy Recovery
2008-04-13,38,False,Energy Recovery
2008-04-20,39,False,Energy Recovery
2008-04-27,43,False,Energy Recovery
2008-05-04,62,False,Energy Recovery
