date,SVI,isPartial,Issuer
2018-07-01,0,False,Sutro Biopharma
2018-07-08,5,False,Sutro Biopharma
2018-07-15,17,False,Sutro Biopharma
2018-07-22,33,False,Sutro Biopharma
2018-07-29,22,False,Sutro Biopharma
2018-08-05,0,False,Sutro Biopharma
2018-08-12,11,False,Sutro Biopharma
2018-08-19,27,False,Sutro Biopharma
2018-08-26,21,False,Sutro Biopharma
2018-09-02,27,False,Sutro Biopharma
2018-09-09,26,False,Sutro Biopharma
2018-09-16,53,False,Sutro Biopharma
2018-09-23,100,False,Sutro Biopharma
2018-09-30,42,False,Sutro Biopharma
2018-10-07,0,False,Sutro Biopharma
2018-10-14,5,False,Sutro Biopharma
2018-10-21,11,False,Sutro Biopharma
2018-10-28,11,False,Sutro Biopharma
2018-11-04,10,False,Sutro Biopharma
2018-11-11,11,False,Sutro Biopharma
2018-11-18,5,False,Sutro Biopharma
2018-11-25,16,False,Sutro Biopharma
2018-12-02,16,False,Sutro Biopharma
2018-12-09,16,False,Sutro Biopharma
2018-12-16,11,False,Sutro Biopharma
2018-12-23,6,False,Sutro Biopharma
2018-12-30,12,False,Sutro Biopharma
2019-01-06,5,False,Sutro Biopharma
2019-01-13,5,False,Sutro Biopharma
2019-01-20,15,False,Sutro Biopharma
2019-01-27,10,False,Sutro Biopharma
2019-02-03,10,False,Sutro Biopharma
2019-02-10,10,False,Sutro Biopharma
2019-02-17,16,False,Sutro Biopharma
2019-02-24,15,False,Sutro Biopharma
2019-03-03,11,False,Sutro Biopharma
2019-03-10,16,False,Sutro Biopharma
2019-03-17,21,False,Sutro Biopharma
2019-03-24,26,False,Sutro Biopharma
2019-03-31,11,False,Sutro Biopharma
2019-04-07,0,False,Sutro Biopharma
2019-04-14,0,False,Sutro Biopharma
2019-04-21,27,False,Sutro Biopharma
2019-04-28,11,False,Sutro Biopharma
2019-05-05,5,False,Sutro Biopharma
2019-05-12,0,False,Sutro Biopharma
2019-05-19,5,False,Sutro Biopharma
2019-05-26,11,False,Sutro Biopharma
2019-06-02,15,False,Sutro Biopharma
2019-06-09,21,False,Sutro Biopharma
2019-06-16,21,False,Sutro Biopharma
2019-06-23,5,False,Sutro Biopharma
2018-07-01,0,False,Urovant Sciences
2018-07-08,0,False,Urovant Sciences
2018-07-15,0,False,Urovant Sciences
2018-07-22,0,False,Urovant Sciences
2018-07-29,11,False,Urovant Sciences
2018-08-05,0,False,Urovant Sciences
2018-08-12,11,False,Urovant Sciences
2018-08-19,0,False,Urovant Sciences
2018-08-26,0,False,Urovant Sciences
2018-09-02,0,False,Urovant Sciences
2018-09-09,11,False,Urovant Sciences
2018-09-16,100,False,Urovant Sciences
2018-09-23,44,False,Urovant Sciences
2018-09-30,11,False,Urovant Sciences
2018-10-07,0,False,Urovant Sciences
2018-10-14,0,False,Urovant Sciences
2018-10-21,0,False,Urovant Sciences
2018-10-28,23,False,Urovant Sciences
2018-11-04,22,False,Urovant Sciences
2018-11-11,0,False,Urovant Sciences
2018-11-18,0,False,Urovant Sciences
2018-11-25,0,False,Urovant Sciences
2018-12-02,11,False,Urovant Sciences
2018-12-09,0,False,Urovant Sciences
2018-12-16,23,False,Urovant Sciences
2018-12-23,0,False,Urovant Sciences
2018-12-30,0,False,Urovant Sciences
2019-01-06,23,False,Urovant Sciences
2019-01-13,33,False,Urovant Sciences
2019-01-20,11,False,Urovant Sciences
2019-01-27,0,False,Urovant Sciences
2019-02-03,11,False,Urovant Sciences
2019-02-10,0,False,Urovant Sciences
2019-02-17,0,False,Urovant Sciences
2019-02-24,22,False,Urovant Sciences
2019-03-03,11,False,Urovant Sciences
2019-03-10,0,False,Urovant Sciences
2019-03-17,0,False,Urovant Sciences
2019-03-24,11,False,Urovant Sciences
2019-03-31,22,False,Urovant Sciences
2019-04-07,11,False,Urovant Sciences
2019-04-14,11,False,Urovant Sciences
2019-04-21,0,False,Urovant Sciences
2019-04-28,0,False,Urovant Sciences
2019-05-05,22,False,Urovant Sciences
2019-05-12,0,False,Urovant Sciences
2019-05-19,0,False,Urovant Sciences
2019-05-26,0,False,Urovant Sciences
2019-06-02,11,False,Urovant Sciences
2019-06-09,11,False,Urovant Sciences
2019-06-16,22,False,Urovant Sciences
2019-06-23,11,False,Urovant Sciences
2018-07-01,3,False,CooTek
2018-07-08,3,False,CooTek
2018-07-15,6,False,CooTek
2018-07-22,0,False,CooTek
2018-07-29,3,False,CooTek
2018-08-05,0,False,CooTek
2018-08-12,9,False,CooTek
2018-08-19,24,False,CooTek
2018-08-26,12,False,CooTek
2018-09-02,3,False,CooTek
2018-09-09,6,False,CooTek
2018-09-16,50,False,CooTek
2018-09-23,100,False,CooTek
2018-09-30,30,False,CooTek
2018-10-07,6,False,CooTek
2018-10-14,3,False,CooTek
2018-10-21,6,False,CooTek
2018-10-28,9,False,CooTek
2018-11-04,3,False,CooTek
2018-11-11,12,False,CooTek
2018-11-18,3,False,CooTek
2018-11-25,9,False,CooTek
2018-12-02,9,False,CooTek
2018-12-09,3,False,CooTek
2018-12-16,3,False,CooTek
2018-12-23,0,False,CooTek
2018-12-30,3,False,CooTek
2019-01-06,12,False,CooTek
2019-01-13,15,False,CooTek
2019-01-20,11,False,CooTek
