date,SVI,isPartial,Issuer
2019-11-24,23,False,ZHONGCHAO
2019-12-01,12,False,ZHONGCHAO
2019-12-08,0,False,ZHONGCHAO
2019-12-15,36,False,ZHONGCHAO
2019-12-22,0,False,ZHONGCHAO
2019-12-29,12,False,ZHONGCHAO
2020-01-05,12,False,ZHONGCHAO
2020-01-12,0,False,ZHONGCHAO
2020-01-19,11,False,ZHONGCHAO
2020-01-26,11,False,ZHONGCHAO
2020-02-02,45,False,ZHONGCHAO
2020-02-09,11,False,ZHONGCHAO
2020-02-16,100,False,ZHONGCHAO
2020-02-23,43,False,ZHONGCHAO
2020-03-01,32,False,ZHONGCHAO
2020-03-08,11,False,ZHONGCHAO
2020-03-15,0,False,ZHONGCHAO
2020-03-22,10,False,ZHONGCHAO
2020-03-29,0,False,ZHONGCHAO
2020-04-05,0,False,ZHONGCHAO
2020-04-12,20,False,ZHONGCHAO
2020-04-19,20,False,ZHONGCHAO
2020-04-26,10,False,ZHONGCHAO
2020-05-03,10,False,ZHONGCHAO
2020-05-10,20,False,ZHONGCHAO
2020-05-17,10,False,ZHONGCHAO
2020-05-24,21,False,ZHONGCHAO
2020-05-31,10,False,ZHONGCHAO
2020-06-07,0,False,ZHONGCHAO
2020-06-14,0,False,ZHONGCHAO
2020-06-21,0,False,ZHONGCHAO
2020-06-28,11,False,ZHONGCHAO
2020-07-05,11,False,ZHONGCHAO
2020-07-12,11,False,ZHONGCHAO
2020-07-19,11,False,ZHONGCHAO
2020-07-26,0,False,ZHONGCHAO
2020-08-02,99,False,ZHONGCHAO
2020-08-09,22,False,ZHONGCHAO
2020-08-16,11,False,ZHONGCHAO
2020-08-23,0,False,ZHONGCHAO
2020-08-30,11,False,ZHONGCHAO
2020-09-06,0,False,ZHONGCHAO
2020-09-13,11,False,ZHONGCHAO
2020-09-20,0,False,ZHONGCHAO
2020-09-27,11,False,ZHONGCHAO
2020-10-04,11,False,ZHONGCHAO
2020-10-11,34,False,ZHONGCHAO
2020-10-18,34,False,ZHONGCHAO
2020-10-25,11,False,ZHONGCHAO
2020-11-01,11,False,ZHONGCHAO
2020-11-08,0,False,ZHONGCHAO
2020-11-15,0,False,ZHONGCHAO
2020-11-22,33,False,ZHONGCHAO
2019-12-01,17,False,Passage BIO
2019-12-08,21,False,Passage BIO
2019-12-15,22,False,Passage BIO
2019-12-22,7,False,Passage BIO
2019-12-29,2,False,Passage BIO
2020-01-05,12,False,Passage BIO
2020-01-12,8,False,Passage BIO
2020-01-19,18,False,Passage BIO
2020-01-26,31,False,Passage BIO
2020-02-02,30,False,Passage BIO
2020-02-09,20,False,Passage BIO
2020-02-16,44,False,Passage BIO
2020-02-23,100,False,Passage BIO
2020-03-01,52,False,Passage BIO
2020-03-08,36,False,Passage BIO
2020-03-15,15,False,Passage BIO
2020-03-22,9,False,Passage BIO
2020-03-29,18,False,Passage BIO
2020-04-05,13,False,Passage BIO
2020-04-12,27,False,Passage BIO
2020-04-19,33,False,Passage BIO
2020-04-26,15,False,Passage BIO
2020-05-03,25,False,Passage BIO
2020-05-10,27,False,Passage BIO
2020-05-17,30,False,Passage BIO
2020-05-24,13,False,Passage BIO
2020-05-31,24,False,Passage BIO
2020-06-07,24,False,Passage BIO
2020-06-14,28,False,Passage BIO
2020-06-21,29,False,Passage BIO
2020-06-28,12,False,Passage BIO
2020-07-05,14,False,Passage BIO
2020-07-12,20,False,Passage BIO
2020-07-19,22,False,Passage BIO
2020-07-26,12,False,Passage BIO
2020-08-02,22,False,Passage BIO
2020-08-09,29,False,Passage BIO
2020-08-16,26,False,Passage BIO
2020-08-23,21,False,Passage BIO
2020-08-30,25,False,Passage BIO
2020-09-06,29,False,Passage BIO
2020-09-13,15,False,Passage BIO
2020-09-20,25,False,Passage BIO
2020-09-27,16,False,Passage BIO
2020-10-04,20,False,Passage BIO
2020-10-11,18,False,Passage BIO
2020-10-18,21,False,Passage BIO
2020-10-25,22,False,Passage BIO
2020-11-01,17,False,Passage BIO
2020-11-08,16,False,Passage BIO
2020-11-15,16,False,Passage BIO
2020-11-22,28,False,Passage BIO
2019-12-08,0,False,GFL Environmental Holdings
2019-12-15,0,False,GFL Environmental Holdings
2019-12-22,0,False,GFL Environmental Holdings
2019-12-29,0,False,GFL Environmental Holdings
2020-01-05,0,False,GFL Environmental Holdings
2020-01-12,0,False,GFL Environmental Holdings
2020-01-19,0,False,GFL Environmental Holdings
2020-01-26,0,False,GFL Environmental Holdings
2020-02-02,0,False,GFL Environmental Holdings
2020-02-09,0,False,GFL Environmental Holdings
2020-02-16,0,False,GFL Environmental Holdings
2020-02-23,0,False,GFL Environmental Holdings
2020-03-01,50,False,GFL Environmental Holdings
2020-03-08,49,False,GFL Environmental Holdings
2020-03-15,49,False,GFL Environmental Holdings
2020-03-22,94,False,GFL Environmental Holdings
2020-03-29,0,False,GFL Environmental Holdings
2020-04-05,0,False,GFL Environmental Holdings
2020-04-12,47,False,GFL Environmental Holdings
2020-04-19,0,False,GFL Environmental Holdings
2020-04-26,93,False,GFL Environmental Holdings
2020-05-03,0,False,GFL Environmental Holdings
2020-05-10,0,False,GFL Environmental Holdings
2020-05-17,48,False,GFL Environmental Holdings
2020-05-24,0,False,GFL Environmental Holdings
2020-05-31,0,False,GFL Environmental Holdings
2020-06-07,0,False,GFL Environmental Holdings
2020-06-14,0,False,GFL Environmental Holdings
2020-06-21,0,False,GFL Environmental Holdings
2020-06-28,0,False,GFL Environmental Holdings
2020-07-05,0,False,GFL Environmental Holdings
2020-07-12,52,False,GFL Environmental Holdings
2020-07-19,0,False,GFL Environmental Holdings
2020-07-26,0,False,GFL Environmental Holdings
2020-08-02,51,False,GFL Environmental Holdings
2020-08-09,0,False,GFL Environmental Holdings
2020-08-16,0,False,GFL Environmental Holdings
2020-08-23,0,False,GFL Environmental Holdings
2020-08-30,0,False,GFL Environmental Holdings
2020-09-06,100,False,GFL Environmental Holdings
2020-09-13,49,False,GFL Environmental Holdings
2020-09-20,0,False,GFL Environmental Holdings
2020-09-27,0,False,GFL Environmental Holdings
2020-10-04,0,False,GFL Environmental Holdings
2020-10-11,52,False,GFL Environmental Holdings
2020-10-18,0,False,GFL Environmental Holdings
2020-10-25,0,False,GFL Environmental Holdings
2020-11-01,0,False,GFL Environmental Holdings
2020-11-08,0,False,GFL Environmental Holdings
2020-11-15,0,False,GFL Environmental Holdings
2020-11-22,0,False,GFL Environmental Holdings
2020-11-29,0,False,GFL Environmental Holdings
2019-12-08,0,False,Flying Eagle Acquisition
2019-12-15,0,False,Flying Eagle Acquisition
2019-12-22,0,False,Flying Eagle Acquisition
2019-12-29,0,False,Flying Eagle Acquisition
2020-01-05,0,False,Flying Eagle Acquisition
2020-01-12,0,False,Flying Eagle Acquisition
2020-01-19,0,False,Flying Eagle Acquisition
2020-01-26,0,False,Flying Eagle Acquisition
2020-02-02,0,False,Flying Eagle Acquisition
2020-02-09,0,False,Flying Eagle Acquisition
2020-02-16,3,False,Flying Eagle Acquisition
2020-02-23,0,False,Flying Eagle Acquisition
2020-03-01,9,False,Flying Eagle Acquisition
2020-03-08,6,False,Flying Eagle Acquisition
2020-03-15,3,False,Flying Eagle Acquisition
2020-03-22,0,False,Flying Eagle Acquisition
2020-03-29,0,False,Flying Eagle Acquisition
2020-04-05,0,False,Flying Eagle Acquisition
2020-04-12,3,False,Flying Eagle Acquisition
2020-04-19,0,False,Flying Eagle Acquisition
2020-04-26,3,False,Flying Eagle Acquisition
2020-05-03,6,False,Flying Eagle Acquisition
2020-05-10,23,False,Flying Eagle Acquisition
2020-05-17,15,False,Flying Eagle Acquisition
2020-05-24,15,False,Flying Eagle Acquisition
2020-05-31,23,False,Flying Eagle Acquisition
2020-06-07,18,False,Flying Eagle Acquisition
2020-06-14,9,False,Flying Eagle Acquisition
2020-06-21,15,False,Flying Eagle Acquisition
2020-06-28,43,False,Flying Eagle Acquisition
