date,SVI,isPartial,Issuer
2019-04-21,35,False,Owl Rock Capital
2019-04-28,10,False,Owl Rock Capital
2019-05-05,10,False,Owl Rock Capital
2019-05-12,15,False,Owl Rock Capital
2019-05-19,24,False,Owl Rock Capital
2019-05-26,39,False,Owl Rock Capital
2019-06-02,29,False,Owl Rock Capital
2019-06-09,14,False,Owl Rock Capital
2019-06-16,29,False,Owl Rock Capital
2019-06-23,24,False,Owl Rock Capital
2019-06-30,20,False,Owl Rock Capital
2019-07-07,63,False,Owl Rock Capital
2019-07-14,83,False,Owl Rock Capital
2019-07-21,100,False,Owl Rock Capital
2019-07-28,25,False,Owl Rock Capital
2019-08-04,55,False,Owl Rock Capital
2019-08-11,25,False,Owl Rock Capital
2019-08-18,39,False,Owl Rock Capital
2019-08-25,19,False,Owl Rock Capital
2019-09-01,33,False,Owl Rock Capital
2019-09-08,47,False,Owl Rock Capital
2019-09-15,51,False,Owl Rock Capital
2019-09-22,55,False,Owl Rock Capital
2019-09-29,51,False,Owl Rock Capital
2019-10-06,28,False,Owl Rock Capital
2019-10-13,14,False,Owl Rock Capital
2019-10-20,31,False,Owl Rock Capital
2019-10-27,9,False,Owl Rock Capital
2019-11-03,40,False,Owl Rock Capital
2019-11-10,85,False,Owl Rock Capital
2019-11-17,69,False,Owl Rock Capital
2019-11-24,22,False,Owl Rock Capital
2019-12-01,18,False,Owl Rock Capital
2019-12-08,14,False,Owl Rock Capital
2019-12-15,51,False,Owl Rock Capital
2019-12-22,25,False,Owl Rock Capital
2019-12-29,14,False,Owl Rock Capital
2020-01-05,44,False,Owl Rock Capital
2020-01-12,55,False,Owl Rock Capital
2020-01-19,35,False,Owl Rock Capital
2020-01-26,43,False,Owl Rock Capital
2020-02-02,35,False,Owl Rock Capital
2020-02-09,26,False,Owl Rock Capital
2020-02-16,56,False,Owl Rock Capital
2020-02-23,59,False,Owl Rock Capital
2020-03-01,37,False,Owl Rock Capital
2020-03-08,28,False,Owl Rock Capital
2020-03-15,20,False,Owl Rock Capital
2020-03-22,31,False,Owl Rock Capital
2020-03-29,16,False,Owl Rock Capital
2020-04-05,36,False,Owl Rock Capital
2020-04-12,43,False,Owl Rock Capital
2019-04-21,45,False,Phreesia
2019-04-28,37,False,Phreesia
2019-05-05,44,False,Phreesia
2019-05-12,34,False,Phreesia
2019-05-19,32,False,Phreesia
2019-05-26,26,False,Phreesia
2019-06-02,37,False,Phreesia
2019-06-09,39,False,Phreesia
2019-06-16,48,False,Phreesia
2019-06-23,49,False,Phreesia
2019-06-30,40,False,Phreesia
2019-07-07,55,False,Phreesia
2019-07-14,100,False,Phreesia
2019-07-21,58,False,Phreesia
2019-07-28,52,False,Phreesia
2019-08-04,68,False,Phreesia
2019-08-11,59,False,Phreesia
2019-08-18,55,False,Phreesia
2019-08-25,44,False,Phreesia
2019-09-01,36,False,Phreesia
2019-09-08,58,False,Phreesia
2019-09-15,46,False,Phreesia
2019-09-22,64,False,Phreesia
2019-09-29,72,False,Phreesia
2019-10-06,65,False,Phreesia
2019-10-13,70,False,Phreesia
2019-10-20,58,False,Phreesia
2019-10-27,55,False,Phreesia
2019-11-03,50,False,Phreesia
2019-11-10,53,False,Phreesia
2019-11-17,55,False,Phreesia
2019-11-24,36,False,Phreesia
2019-12-01,47,False,Phreesia
2019-12-08,66,False,Phreesia
2019-12-15,73,False,Phreesia
2019-12-22,41,False,Phreesia
2019-12-29,48,False,Phreesia
2020-01-05,69,False,Phreesia
2020-01-12,65,False,Phreesia
2020-01-19,66,False,Phreesia
2020-01-26,69,False,Phreesia
2020-02-02,80,False,Phreesia
2020-02-09,65,False,Phreesia
2020-02-16,67,False,Phreesia
2020-02-23,69,False,Phreesia
2020-03-01,69,False,Phreesia
2020-03-08,68,False,Phreesia
2020-03-15,65,False,Phreesia
2020-03-22,57,False,Phreesia
2020-03-29,54,False,Phreesia
2020-04-05,45,False,Phreesia
2020-04-12,57,False,Phreesia
2019-04-21,0,False,Afya Limited
2019-04-28,0,False,Afya Limited
2019-05-05,0,False,Afya Limited
2019-05-12,0,False,Afya Limited
2019-05-19,0,False,Afya Limited
2019-05-26,0,False,Afya Limited
2019-06-02,55,False,Afya Limited
2019-06-09,0,False,Afya Limited
2019-06-16,0,False,Afya Limited
2019-06-23,0,False,Afya Limited
2019-06-30,0,False,Afya Limited
2019-07-07,0,False,Afya Limited
2019-07-14,0,False,Afya Limited
2019-07-21,58,False,Afya Limited
2019-07-28,0,False,Afya Limited
2019-08-04,29,False,Afya Limited
2019-08-11,85,False,Afya Limited
2019-08-18,0,False,Afya Limited
2019-08-25,0,False,Afya Limited
2019-09-01,27,False,Afya Limited
2019-09-08,0,False,Afya Limited
2019-09-15,0,False,Afya Limited
2019-09-22,0,False,Afya Limited
2019-09-29,0,False,Afya Limited
2019-10-06,0,False,Afya Limited
2019-10-13,26,False,Afya Limited
2019-10-20,0,False,Afya Limited
2019-10-27,26,False,Afya Limited
2019-11-03,0,False,Afya Limited
2019-11-10,0,False,Afya Limited
2019-11-17,26,False,Afya Limited
2019-11-24,26,False,Afya Limited
2019-12-01,52,False,Afya Limited
2019-12-08,26,False,Afya Limited
2019-12-15,53,False,Afya Limited
2019-12-22,29,False,Afya Limited
2019-12-29,0,False,Afya Limited
2020-01-05,26,False,Afya Limited
2020-01-12,25,False,Afya Limited
2020-01-19,25,False,Afya Limited
2020-01-26,25,False,Afya Limited
2020-02-02,100,False,Afya Limited
2020-02-09,0,False,Afya Limited
2020-02-16,0,False,Afya Limited
2020-02-23,0,False,Afya Limited
2020-03-01,0,False,Afya Limited
2020-03-08,23,False,Afya Limited
2020-03-15,71,False,Afya Limited
2020-03-22,23,False,Afya Limited
2020-03-29,0,False,Afya Limited
2020-04-05,47,False,Afya Limited
2020-04-12,0,False,Afya Limited
2020-04-19,0,False,Afya Limited
2019-04-21,0,False,Intercorp Financial Services
2019-04-28,12,False,Intercorp Financial Services
2019-05-05,0,False,Intercorp Financial Services
2019-05-12,0,False,Intercorp Financial Services
2019-05-19,12,False,Intercorp Financial Services
2019-05-26,0,False,Intercorp Financial Services
2019-06-02,0,False,Intercorp Financial Services
2019-06-09,0,False,Intercorp Financial Services
2019-06-16,0,False,Intercorp Financial Services
2019-06-23,0,False,Intercorp Financial Services
2019-06-30,12,False,Intercorp Financial Services
2019-07-07,62,False,Intercorp Financial Services
2019-07-14,100,False,Intercorp Financial Services
2019-07-21,25,False,Intercorp Financial Services
2019-07-28,13,False,Intercorp Financial Services
2019-08-04,0,False,Intercorp Financial Services
2019-08-11,50,False,Intercorp Financial Services
2019-08-18,0,False,Intercorp Financial Services
2019-08-25,12,False,Intercorp Financial Services
2019-09-01,0,False,Intercorp Financial Services
2019-09-08,0,False,Intercorp Financial Services
2019-09-15,12,False,Intercorp Financial Services
2019-09-22,12,False,Intercorp Financial Services
2019-09-29,0,False,Intercorp Financial Services
2019-10-06,0,False,Intercorp Financial Services
2019-10-13,12,False,Intercorp Financial Services
2019-10-20,0,False,Intercorp Financial Services
2019-10-27,12,False,Intercorp Financial Services
2019-11-03,0,False,Intercorp Financial Services
2019-11-10,34,False,Intercorp Financial Services
2019-11-17,23,False,Intercorp Financial Services
2019-11-24,11,False,Intercorp Financial Services
2019-12-01,0,False,Intercorp Financial Services
2019-12-08,12,False,Intercorp Financial Services
2019-12-15,0,False,Intercorp Financial Services
2019-12-22,0,False,Intercorp Financial Services
2019-12-29,0,False,Intercorp Financial Services
2020-01-05,0,False,Intercorp Financial Services
2020-01-12,11,False,Intercorp Financial Services
2020-01-19,0,False,Intercorp Financial Services
2020-01-26,11,False,Intercorp Financial Services
2020-02-02,0,False,Intercorp Financial Services
2020-02-09,22,False,Intercorp Financial Services
2020-02-16,11,False,Intercorp Financial Services
2020-02-23,21,False,Intercorp Financial Services
2020-03-01,21,False,Intercorp Financial Services
2020-03-08,10,False,Intercorp Financial Services
2020-03-15,10,False,Intercorp Financial Services
2020-03-22,0,False,Intercorp Financial Services
2020-03-29,10,False,Intercorp Financial Services
2020-04-05,0,False,Intercorp Financial Services
2020-04-12,10,False,Intercorp Financial Services
2020-04-19,0,False,Intercorp Financial Services
2019-04-21,35,False,Medallia
2019-04-28,39,False,Medallia
2019-05-05,42,False,Medallia
2019-05-12,40,False,Medallia
2019-05-19,46,False,Medallia
2019-05-26,39,False,Medallia
2019-06-02,43,False,Medallia
2019-06-09,35,False,Medallia
2019-06-16,42,False,Medallia
2019-06-23,60,False,Medallia
2019-06-30,41,False,Medallia
2019-07-07,61,False,Medallia
2019-07-14,100,False,Medallia
2019-07-21,87,False,Medallia
2019-07-28,58,False,Medallia
2019-08-04,51,False,Medallia
2019-08-11,48,False,Medallia
2019-08-18,42,False,Medallia
2019-08-25,43,False,Medallia
2019-09-01,43,False,Medallia
2019-09-08,45,False,Medallia
2019-09-15,46,False,Medallia
2019-09-22,44,False,Medallia
2019-09-29,37,False,Medallia
2019-10-06,41,False,Medallia
2019-10-13,43,False,Medallia
2019-10-20,39,False,Medallia
2019-10-27,42,False,Medallia
2019-11-03,40,False,Medallia
2019-11-10,37,False,Medallia
2019-11-17,41,False,Medallia
2019-11-24,34,False,Medallia
2019-12-01,46,False,Medallia
2019-12-08,42,False,Medallia
2019-12-15,40,False,Medallia
2019-12-22,28,False,Medallia
2019-12-29,27,False,Medallia
2020-01-05,41,False,Medallia
2020-01-12,44,False,Medallia
2020-01-19,42,False,Medallia
2020-01-26,40,False,Medallia
2020-02-02,50,False,Medallia
2020-02-09,43,False,Medallia
2020-02-16,43,False,Medallia
2020-02-23,44,False,Medallia
2020-03-01,49,False,Medallia
2020-03-08,41,False,Medallia
2020-03-15,32,False,Medallia
2020-03-22,22,False,Medallia
2020-03-29,23,False,Medallia
2020-04-05,23,False,Medallia
2020-04-12,21,False,Medallia
2020-04-19,27,False,Medallia
